Nama_Matkul,nilai_pras1,nilai_pras2,nilai_pras3,nilai_pras4,angkatan,y,mean_pras,std_pras,median_pras,num_pras
Pengantar Organisasi Komputer,3.3,4.0,,,2006,lulus,3.65,0.4949747468305834,3.65,2
Basis Data,4.0,,,,2016,lulus,4.0,0.0,4.0,1
Pengantar Organisasi Komputer,2.7,3.3,,,2006,lulus,3.0,0.4242640687119283,3.0,2
Pengantar Organisasi Komputer,2.7,4.0,,,2006,hati hati,3.35,0.9192388155425116,3.35,2
Pengantar Organisasi Komputer,3.7,2.7,,,2006,lulus,3.2,0.7071067811865476,3.2,2
Pengantar Organisasi Komputer,2.0,2.7,,,2006,lulus,2.35,0.4949747468305834,2.35,2
Pengantar Organisasi Komputer,2.0,3.3,,,2006,lulus,2.65,0.9192388155425116,2.65,2
Jaringan Komputer,4.0,,,,2006,lulus,4.0,0.0,4.0,1
Jaringan Komputer,3.3,,,,2007,lulus,3.3,0.0,3.3,1
Pengantar Organisasi Komputer,3.0,3.3,,,2006,hati hati,3.15,0.21213203435596414,3.15,2
Pengantar Organisasi Komputer,2.0,2.7,,,2006,hati hati,2.35,0.4949747468305834,2.35,2
Pengantar Organisasi Komputer,4.0,3.3,,,2006,hati hati,3.65,0.4949747468305834,3.65,2
Pengantar Organisasi Komputer,4.0,4.0,,,2006,hati hati,4.0,0.0,4.0,2
Struktur Data & Algoritma,2.0,,,,2008,lulus,2.0,0.0,2.0,1
Basis Data Lanjut,3.3,,,,2008,lulus,3.3,0.0,3.3,1
Basis Data Lanjut,2.0,,,,2008,lulus,2.0,0.0,2.0,1
Struktur Data & Algoritma,4.0,,,,2009,lulus,4.0,0.0,4.0,1
Pengantar Organisasi Komputer,2.7,2.7,,,2006,hati hati,2.7,0.0,2.7,2
Pengantar Organisasi Komputer,2.7,2.7,,,2006,hati hati,2.7,0.0,2.7,2
Pengantar Organisasi Komputer,2.7,2.7,,,2006,lulus,2.7,0.0,2.7,2
Pengantar Organisasi Komputer,4.0,3.3,,,2006,hati hati,3.65,0.4949747468305834,3.65,2
Pengantar Organisasi Komputer,2.0,3.0,,,2006,lulus,2.5,0.7071067811865476,2.5,2
Pengantar Organisasi Komputer,3.3,2.7,,,2006,lulus,3.0,0.4242640687119283,3.0,2
Pengantar Organisasi Komputer,4.0,3.3,,,2006,lulus,3.65,0.4949747468305834,3.65,2
Pengantar Organisasi Komputer,2.7,3.7,,,2006,lulus,3.2,0.7071067811865476,3.2,2
Pengantar Organisasi Komputer,4.0,2.0,,,2006,tidak lulus,3.0,1.4142135623730951,3.0,2
Pengantar Organisasi Komputer,4.0,2.7,,,2006,lulus,3.35,0.9192388155425116,3.35,2
Pengantar Organisasi Komputer,2.7,2.0,,,2006,lulus,2.35,0.4949747468305834,2.35,2
