npm,kd_mk,nilai,kode_pras1,kode_pras2,kode_pras3,kode_pras4,nilai_angka,y
906563350,IKO21105,A,,,,,4.0,lulus
706276242,IKI40903,A,,,,,4.0,lulus
1006826515,IKI10400,A,IKI10200,,,,4.0,lulus
606101875,IKO22401,C,IKI10100,IKI20101,,,2.0,hati hati
706165835,IKO31900,C,,,,,2.0,hati hati
706271872,IKO41253,C,IKI10100,IKI10200,,,2.0,hati hati
706271866,IKO31204,C,IKI10400,IKI20505,,,2.0,hati hati
806457855,IKO31204,C,IKI10400,IKI20505,,,2.0,hati hati
906510382,IKI10400,C,IKI10200,,,,2.0,hati hati
906554024,IKI20201,C,IKI10200,,,,2.0,hati hati
906562972,IKI20102,C,,,,,2.0,hati hati
906563350,IKI20102,C,,,,,2.0,hati hati
1006671192,FSK10111,C,,,,,2.0,hati hati
1006671564,UUI11001,C,,,,,2.0,hati hati
1006759744,IKI10200,C,,,,,2.0,hati hati
906552492,IKI20600I,C,,,,,2.0,hati hati
906552454,IKI20600I,C,,,,,2.0,hati hati
906503881,IKI80900,C,,,,,2.0,hati hati
1006800131,IKI80100,C,,,,,2.0,hati hati
906593536,IKI83409T,C,,,,,2.0,hati hati
906656511,IKI82203T,C,,,,,2.0,hati hati
906656341,IKI82406T,C,,,,,2.0,hati hati
1006800264,IKI81701T,C,,,,,2.0,hati hati
1006784576,IKI90995,C,,,,,2.0,hati hati
906593675,IKI80924T,C,,,,,2.0,hati hati
1006666040,UUI11002,C,,,,,2.0,hati hati
806339420,IKI30202,C,IKI10200,,,,2.0,hati hati
806459942,IKI30202,C,IKI10200,,,,2.0,hati hati
1006666394,IKI10200,C,,,,,2.0,hati hati
1006775722,IKI10200,C,,,,,2.0,hati hati
1006822681,IKS21601,C,,,,,2.0,hati hati
1006822675,IKS12800,C,,,,,2.0,hati hati
806335271,IKO31900,C,,,,,2.0,hati hati
906629164,IKO22203,C,IKI10400,,,,2.0,hati hati
1006665933,IKO12500,C,,,,,2.0,hati hati
1006666734,UUI11002,C,,,,,2.0,hati hati
1006784512,IKI80422,C,,,,,2.0,hati hati
9205000034,IKI90992,C,,,,,2.0,hati hati
806339540,IKS31605,C,IKS22602,,,,2.0,hati hati
706272206,IKI30202,B+,IKI10200,,,,3.3,lulus
806316404,IKO31250,B+,IKI20201,,,,3.3,lulus
806334640,IKO31204,B+,IKI10400,IKI20505,,,3.3,lulus
806334672,IKI20201,B+,IKI10200,,,,3.3,lulus
806334685,IKS31650,B+,IKS12800,,,,3.3,lulus
806334735,IKO31204,B+,IKI10400,IKI20505,,,3.3,lulus
806334773,IKI30202,B+,IKI10200,,,,3.3,lulus
806323113,IKI30202,C,IKI10200,,,,2.0,hati hati
806334842,IKI30202,B+,IKI10200,,,,3.3,lulus
806457880,IKO31300,B+,IKI20102,IKI10400,IKI10100,,3.3,lulus
906510256,IKO21105,B+,,,,,3.3,lulus
906563123,IKO21105,B+,,,,,3.3,lulus
906629196,IKI20201,B+,IKI10200,,,,3.3,lulus
1006671476,IKI10100,B+,,,,,3.3,lulus
1006756585,UUI11001,B+,,,,,3.3,lulus
906552391,IKI20240I,B+,,,,,3.3,lulus
1205800165,IKI30310I,B+,,,,,3.3,lulus
806334804,IKI30202,C,IKI10200,,,,2.0,hati hati
906594053,IKI83407T,B+,,,,,3.3,lulus
906657905,IKI80050T,B+,,,,,3.3,lulus
1006800195,IKI81202T,B+,,,,,3.3,lulus
706165974,IKS32206,B+,IKI30202,IKI20700,,,3.3,lulus
706276242,IKS32901,B+,,,,,3.3,lulus
806323151,IKS41850,B+,,,,,3.3,lulus
806339673,IKS31650,B+,IKS12800,,,,3.3,lulus
906518044,IKS12600,B+,,,,,3.3,lulus
906563426,IKS12600,B+,,,,,3.3,lulus
906640570,IKS12600,B+,,,,,3.3,lulus
1006685765,IKI10100,B+,,,,,3.3,lulus
1006775672,IKS12600,B+,,,,,3.3,lulus
906618860,IKS22602,B+,IKS12600,,,,3.3,lulus
1006822681,IKS12800,B+,,,,,3.3,lulus
1006823072,IKI10400,B+,IKI10200,,,,3.3,lulus
706271525,IKS32753,B+,IKI20505,,,,3.3,lulus
706271595,IKO42451,B+,IKI10400,,,,3.3,lulus
706271626,IKS31951,B+,,,,,3.3,lulus
806335284,IKO32104,B+,IKI10103,IKO21105,,,3.3,lulus
806457691,IKO32453,B+,IKO31503,IKI20102,IKI10100,IKI20101,3.3,lulus
906510470,IKI20700,B+,IKI10400,,,,3.3,lulus
906563086,IKI20505,B+,IKS21501,IKO21502,,,3.3,lulus
1006666091,IKI10400,B+,IKI10200,,,,3.3,lulus
1006671425,IKI10400,B+,IKI10200,,,,3.3,lulus
706271481,IKI40902,C,,,,,2.0,hati hati
1006770715,IKI10400,B+,IKI10200,,,,3.3,lulus
906552542,IKI20510,B+,,,,,3.3,lulus
1006800131,IKI80901,B+,,,,,3.3,lulus
906593763,IKI83903T,B+,,,,,3.3,lulus
906656700,IKI83409T,B+,,,,,3.3,lulus
1006748293,IKI82203T,B+,,,,,3.3,lulus
1006833205,IKI81403T,B+,,,,,3.3,lulus
706165980,IKI40999,B+,,,,,3.3,lulus
806319646,IKS32901,B+,,,,,3.3,lulus
806339704,IKS32758,B+,IKS31504,IKS12800,,,3.3,lulus
906518164,IKI20700,B+,IKI10400,,,,3.3,lulus
906563546,IKI20700,B+,IKI10400,,,,3.3,lulus
1006666261,UUI11002,B+,,,,,3.3,lulus
1006685802,IKI10400,B+,IKI10200,,,,3.3,lulus
1006775672,IKS41653,B+,,,,,3.3,lulus
906618974,IKS32606,B+,IKS22602,,,,3.3,lulus
1006822744,IKI10400,B+,IKI10200,,,,3.3,lulus
1006826263,IKS12600,B+,,,,,3.3,lulus
1204000645,IKI40903,C,,,,,2.0,hati hati
906656190,IKI82406T,C,,,,,2.0,hati hati
906656455,IKI82406T,C,,,,,2.0,hati hati
906518201,IKI10400,C,IKI10200,,,,2.0,hati hati
806386846,IKI40903,C,,,,,2.0,hati hati
806386562,IKS32758,C,IKS31504,IKS12800,,,2.0,hati hati
806334615,IKO32205,C,IKI30202,,,,2.0,hati hati
806334874,IKO32205,C,IKI30202,,,,2.0,hati hati
1006671955,IKO12500,C,,,,,2.0,hati hati
906656423,IKI83410T,C,,,,,2.0,hati hati
806339484,IKS32206,C,IKI30202,IKI20700,,,2.0,hati hati
906648541,IKS31605,C,IKS22602,,,,2.0,hati hati
906645994,IKI20020I,C,,,,,2.0,hati hati
606104315,IKO41357,B+,IKI10400,,,,3.3,lulus
706166320,IKO31900,B+,,,,,3.3,lulus
706271462,BJN20635,B+,,,,,3.3,lulus
706271563,IKO41357,B+,IKI10400,,,,3.3,lulus
606101231,IKI40903,A,,,,,4.0,lulus
706165942,IKS31650,C,IKS12800,,,,2.0,hati hati
706271683,IKO41357,B+,IKI10400,,,,3.3,lulus
706271891,BJN20635,B+,,,,,3.3,lulus
706272143,IKO31900,B+,,,,,3.3,lulus
706272263,IKO41357,B+,IKI10400,,,,3.3,lulus
806316285,IKO22401,B+,IKI10100,IKI20101,,,3.3,lulus
806457905,IKS12600,B+,,,,,3.3,lulus
906510092,IKI20102,B+,,,,,3.3,lulus
906510382,IKI20102,B+,,,,,3.3,lulus
906550316,IKO31900,B+,,,,,3.3,lulus
706271784,IKO41352,A,IKO31300,,,,4.0,lulus
706272036,IKO41557,C,IKO31503,,,,2.0,hati hati
806457703,IKO31355,A,IKI10103,IKO21105,IKI10400,,4.0,lulus
906493073,IKI20102,C,,,,,2.0,hati hati
906562820,IKI20102,B+,,,,,3.3,lulus
906563174,FSK10112,B+,,,,,3.3,lulus
906629132,IKI20102,B+,,,,,3.3,lulus
1006665965,MAT10113,B+,,,,,3.3,lulus
1006666122,MAT10113,B+,,,,,3.3,lulus
1006666734,MAT10113,B+,,,,,3.3,lulus
1006671513,MAT10113,B+,,,,,3.3,lulus
906563003,IKI20201,A,IKI10200,,,,4.0,lulus
1006671293,MAT10113,A,,,,,4.0,lulus
906563331,IKI20102,C,,,,,2.0,hati hati
1006671753,MAT10113,C,,,,,2.0,hati hati
1006671961,MAT10113,B+,,,,,3.3,lulus
1006759744,MAT10113,B+,,,,,3.3,lulus
1006770740,IKI10100,B+,,,,,3.3,lulus
1205000061,IKS41759,B+,IKS31504,IKO31503,,,3.3,lulus
906552422,IKI20420I,B+,,,,,3.3,lulus
1006717243,IKI10600I,B+,,,,,3.3,lulus
906503881,IKI80901,B+,,,,,3.3,lulus
1006747795,IKI80100,B+,,,,,3.3,lulus
1006800081,IKI80320,B+,,,,,3.3,lulus
906503843,IKI83903T,B+,,,,,3.3,lulus
806472875,IKI30600I,A,,,,,4.0,lulus
806445136,IKI83903T,A,,,,,4.0,lulus
906646050,IKI20240I,C,,,,,2.0,hati hati
906504221,IKI83407T,B+,,,,,3.3,lulus
906504386,IKI80924T,B+,,,,,3.3,lulus
906506012,IKI80924T,B+,,,,,3.3,lulus
906593416,IKI83903T,B+,,,,,3.3,lulus
906593712,IKI83903T,B+,,,,,3.3,lulus
906593971,IKI83401T,B+,,,,,3.3,lulus
906619472,IKI83402T,B+,,,,,3.3,lulus
906656291,IKI80050T,B+,,,,,3.3,lulus
906656493,IKI80050T,B+,,,,,3.3,lulus
906593580,IKI83903T,A,,,,,4.0,lulus
906504045,IKI83410T,C,,,,,2.0,hati hati
906593845,IKI80924T,C,,,,,2.0,hati hati
1006747946,IKI81202T,B+,,,,,3.3,lulus
1006748305,IKI81202T,B+,,,,,3.3,lulus
1006800283,IKI81202T,B+,,,,,3.3,lulus
1006800485,IKI81202T,B+,,,,,3.3,lulus
1006800655,IKI81202T,B+,,,,,3.3,lulus
706165993,IKS31605,B+,IKS22602,,,,3.3,lulus
706276186,IKI10400,B+,IKI10200,,,,3.3,lulus
706276293,IKS31259,B+,IKS21601,,,,3.3,lulus
1006748116,IKI81202T,C,,,,,2.0,hati hati
906656663,IKI80050T,A,,,,,4.0,lulus
1006753116,IKI80320,A,,,,,4.0,lulus
706166402,IKS32901,C,,,,,2.0,hati hati
706276394,IKS22602,B+,IKS12600,,,,3.3,lulus
706276513,IKS32901,B+,,,,,3.3,lulus
806323214,IKI30202,B+,IKI10200,,,,3.3,lulus
806339616,IKI30202,B+,IKI10200,,,,3.3,lulus
806459942,IKS22602,B+,IKS12600,,,,3.3,lulus
806460055,IKO41356,B+,IKI10400,,,,3.3,lulus
806460143,IKS31259,B+,IKS21601,,,,3.3,lulus
906518063,IKS21501,B+,IKI10200,,,,3.3,lulus
806316890,IKI20201,A,IKI10200,,,,4.0,lulus
906493230,IKI20102,A,,,,,4.0,lulus
806339521,IKS31259,C,IKS21601,,,,2.0,hati hati
906518473,IKI20102,B+,,,,,3.3,lulus
906563514,IKI20102,B+,,,,,3.3,lulus
906563703,IKS12600,B+,,,,,3.3,lulus
906563842,IKI20201,B+,IKI10200,,,,3.3,lulus
1006666242,FSK10111,B+,,,,,3.3,lulus
1006685670,FSK10111,B+,,,,,3.3,lulus
1006685834,FSK10111,B+,,,,,3.3,lulus
1006686055,FSK10111,B+,,,,,3.3,lulus
1006686282,FSK10111,B+,,,,,3.3,lulus
906518302,IKI10400,C,IKI10200,,,,2.0,hati hati
