Nama_Matkul,Kode
Administrasi Sistem,IKS32753
Aljabar Linier Numerik,IKO41154
Analisis Numerik,IKO32104
Aproksimasi & Sistem Nonlinier,IKO41153
Basis Data,IKI20700
Basis Data Lanjut,IKO31754
Bioinformatika,IKO31350
Manajemen Hubungan Pelanggan,IKS31603
Dasar-Dasar Arsitektur Komputer,IKS21501
Dasar-Dasar Audit SI,IKS41851
Desain & Analisis Algoritma,IKO32402
Perdagangan Elektronis,IKS31650
Integrasi Aplikasi Perusahaan,IKS42755
Enterprise Resource Planning,IKS22602
Geometri Komputasional,IKO42451
Grafika Komputer,IKO32450
Infrastruktur TI Modern,IKS32756
Jaringan Komputer,IKO31503
Jaringan Komunikasi Data,IKS31504
Jejaring Semantik,IKO41361
Kecerdasan Bisnis,IKS42651
Komputasi Lunak,IKO41352
Komputasi Ubiquitous & Net-Sentris ,IKO41557
Konfigurasi ERP,IKS32656
Kriptografi & Keamanan Informasi,IKO32453
Layanan & Aplikasi Web,IKO32751
Logika Komputasional,IKO41454
Manajemen Keamanan Informasi,IKS41757
Manajemen Layanan TI,IKS32758
Manajemen Proyek TI,IKS31259
Manajemen Sistem Informasi,IKS41852
Manajemen Sumber Daya Manusia,IKS31604
Metode Formal,IKO42252
Organisasi Sistem Komputer,IKO31550
Pemelajaran Mesin,IKO32353
Pemodelan Geometris,IKO41452
Pemrograman Deklaratif,IKO22203
Pemrograman Konkuren & Paralel,IKO31258
Pemrograman Logika,IKO41253
Pemrograman Sistem,IKO31204
Penambangan Data,IKO42351
Pengajaran Berbantuan Komputer,IKO41853
Pengantar Organisasi Komputer,IKO21502
Pengembangan dan Pemasaran Produk,IKS41652
Pengembangan Perangkat Lunak Open Source,IKS42260
Game Development,IKO41251
Pengolahan Bahasa Manusia,IKO32354
Pengolahan Citra,IKO31355
Pengolahan Multimedia,IKO41356
Pengolahan Sinyal Dijital,IKO41552
Penjaminan Mutu Perangkat Lunak,IKO41254
Perancangan & Pemrograman Web,IKI20201
Perolehan Informasi,IKO41357
Persamaan Diferensial,IKO32152
Proyek Pengembangan Sistem Informasi,IKS32206
Proyek Perangkat Lunak,IKO32205
Rancangan Sistem Dijital,IKO42553
Rekayasa Perangkat Lunak,IKI30202
Riset Operasi,IKS22403
Robotika,IKO42360
Simulasi & Pemodelan,IKO41151
Sistem Cerdas,IKO31300
Sistem Informasi Akuntansi dan Keuangan,IKS32606
Sistem Informasi Geografis,IKO41854
Sistem Informasi Kesehatan,IKS32855
Sistem Interaksi,IKO31250
Sistem Operasi,IKI20505
Sistem Terdistribusi,IKO41554
Sistem Tertanam,IKO31551
Struktur Data & Algoritma,IKI10400
Manajemen Rantai Suplai,IKS31605
Teknik Kompilator,IKO32257
Teknologi Mobile,IKS41759
Teori Bahasa & Automata,IKO22401
Teori Informasi,IKO32150
Sistem Operasi,IKI20505
Analisis Numerik,IKO32104
Dasar-Dasar Pemrograman,IKI10200
Analisis Numerik,IKO32104
Struktur Data & Algoritma,IKI10400
Basis Data,IKI20700
Statistika & Probabilitas,IKI20102
Enterprise Resource Planning,IKS22602
Dasar-Dasar Pemrograman,IKI10200
Prinsip-Prinsip Sistem Informasi,IKS12800
Struktur Data & Algoritma,IKI10400
Prinsip-Prinsip Sistem Informasi,IKS12800
Jaringan Komunikasi Data,IKS31504
Administrasi Bisnis,IKS12600
Struktur Data & Algoritma,IKI10400
Aljabar Linier,IKI10103
Jaringan Komunikasi Data,IKS31504
Sistem Operasi,IKI20505
Sistem Operasi,IKI20505
Sistem Cerdas,IKO31300
Perancangan & Pemrograman Web,IKI20201
Basis Data,IKI20700
Sistem Cerdas,IKO31300
Jaringan Komputer,IKO31503
Enterprise Resource Planning,IKS22602
Matematika Diskret 1,IKI20101
Matematika Diskret 2,/IKI20101
Prinsip-Prinsip Sistem Informasi,IKS12800
Sistem Cerdas,IKO31300
Jaringan Komunikasi Data,IKS31504
Prinsip-Prinsip Manajemen,IKS21601
Enterprise Resource Planning,IKS22602
Pengantar Organisasi Komputer,IKO21502
Sistem Cerdas,IKO31300
Grafika Komputer,IKO32450
Struktur Data & Algoritma,IKI10400
Perancangan & Pemrograman Web,IKI20201
Pengantar Sistem Dijita,IKO12500
Administrasi Bisnis,IKS12600
Jaringan Komunikasi Data,IKS31504
Struktur Data & Algoritma,IKI10400
Teori Bahasa & Automata,IKO22401
Struktur Data & Algoritma,IKI10400
Pengantar Organisasi Komputer,IKO21502
Rekayasa Perangkat Lunak,IKI30202
Dasar-Dasar Pemrograman,IKI10200
Struktur Data & Algoritma,IKI10400
Rekayasa Perangkat Lunak,IKI30202
Pengantar Organisasi Komputer,IKO21502
Dasar-Dasar Pemrograman,IKI10200
Aljabar Linier,IKI10103
Enterprise Resource Planning,IKS22602
Perancangan & Pemrograman Web,IKI20201
Dasar-Dasar Arsitektur Komputer,IKS21501
Jaringan Komputer,IKO31503
Pengantar Organisasi Komputer,IKO21502
Dasar-Dasar Pemrograman,IKI10200
Enterprise Resource Planning,IKS22602
