,pras1,pras2,y
0,3.0,2.0,hati hati
1,3.0,2.0,hati hati
2,4.0,4.0,hati hati
3,4.0,4.0,hati hati
4,4.0,4.0,hati hati
5,4.0,4.0,hati hati
6,4.0,4.0,hati hati
7,4.0,4.0,hati hati
8,3.0,4.0,hati hati
9,3.0,4.0,hati hati
10,3.0,4.0,hati hati
11,4.0,3.0,lulus
12,4.0,3.0,lulus
13,4.0,3.0,lulus
14,4.0,3.0,lulus
15,4.0,3.0,hati hati
16,4.0,3.0,hati hati
17,2.0,2.0,hati hati
18,2.0,2.0,hati hati
19,2.0,2.0,hati hati
20,2.0,3.0,lulus
21,2.0,3.0,lulus
22,2.0,3.0,lulus
23,4.0,4.0,hati hati
24,4.0,4.0,hati hati
25,3.0,4.0,hati hati
26,3.0,4.0,hati hati
27,3.0,2.0,hati hati
28,3.0,2.0,hati hati
29,4.0,3.0,hati hati
30,4.0,3.0,hati hati
31,4.0,3.0,hati hati
32,4.0,3.0,hati hati
33,4.0,3.0,hati hati
34,4.0,3.0,hati hati
35,4.0,2.0,lulus
36,4.0,2.0,lulus
37,4.0,3.0,hati hati
38,4.0,3.0,hati hati
39,3.0,4.0,lulus
40,3.0,4.0,lulus
41,4.0,4.0,hati hati
42,4.0,4.0,hati hati
43,4.0,2.0,hati hati
44,4.0,2.0,hati hati
45,3.0,2.0,hati hati
46,3.0,2.0,hati hati
47,3.0,4.0,hati hati
48,3.0,4.0,hati hati
49,3.0,4.0,hati hati
50,4.0,3.0,hati hati
51,4.0,3.0,hati hati
52,4.0,4.0,hati hati
53,4.0,4.0,hati hati
54,4.0,4.0,hati hati
55,4.0,4.0,hati hati
56,3.0,4.0,hati hati
57,3.0,4.0,hati hati
58,3.0,3.0,hati hati
59,3.0,3.0,hati hati
60,4.0,3.0,hati hati
61,4.0,3.0,hati hati
62,3.0,3.0,hati hati
63,3.0,3.0,hati hati
64,2.0,4.0,hati hati
65,2.0,4.0,hati hati
66,2.0,4.0,hati hati
67,2.0,4.0,hati hati
68,3.0,4.0,hati hati
69,3.0,4.0,hati hati
70,3.0,3.0,lulus
71,3.0,3.0,lulus
72,3.0,4.0,hati hati
73,3.0,4.0,hati hati
74,3.0,4.0,tidak lulus
75,3.0,4.0,tidak lulus
76,3.0,2.0,hati hati
77,3.0,2.0,hati hati
78,4.0,3.0,hati hati
79,4.0,3.0,hati hati
80,4.0,3.0,hati hati
81,4.0,3.0,hati hati
82,4.0,3.0,lulus
83,4.0,3.0,lulus
84,4.0,3.0,lulus
85,4.0,3.0,lulus
86,4.0,4.0,lulus
87,4.0,4.0,lulus
88,4.0,4.0,hati hati
89,4.0,4.0,hati hati
90,4.0,3.0,hati hati
91,4.0,3.0,hati hati
92,3.0,3.0,hati hati
93,3.0,3.0,hati hati
94,3.0,3.0,hati hati
95,3.0,3.0,hati hati
96,3.0,2.0,lulus
97,3.0,2.0,lulus
98,3.0,2.0,lulus
99,3.0,4.0,hati hati
100,3.0,4.0,hati hati
101,4.0,2.0,hati hati
102,4.0,2.0,hati hati
103,4.0,2.0,hati hati
104,4.0,2.0,hati hati
105,3.0,4.0,hati hati
106,3.0,4.0,hati hati
107,3.0,1.0,hati hati
108,3.0,1.0,hati hati
109,4.0,3.0,lulus
110,4.0,3.0,lulus
111,3.0,4.0,lulus
112,3.0,4.0,lulus
113,3.0,3.0,hati hati
114,3.0,3.0,hati hati
115,3.0,2.0,hati hati
116,3.0,2.0,hati hati
117,3.0,3.0,hati hati
118,3.0,3.0,hati hati
119,3.0,3.0,hati hati
120,3.0,3.0,hati hati
121,3.0,3.0,hati hati
122,3.0,3.0,hati hati
123,4.0,4.0,hati hati
124,4.0,4.0,hati hati
125,3.0,2.0,hati hati
126,3.0,2.0,hati hati
127,4.0,3.0,lulus
128,4.0,3.0,lulus
129,4.0,3.0,hati hati
130,4.0,3.0,hati hati
131,4.0,3.0,tidak lulus
132,4.0,3.0,tidak lulus
133,4.0,2.0,hati hati
134,4.0,2.0,hati hati
135,3.0,3.0,hati hati
136,3.0,3.0,hati hati
137,4.0,1.0,hati hati
138,4.0,1.0,hati hati
139,3.0,2.0,hati hati
140,3.0,2.0,hati hati
141,4.0,2.0,hati hati
142,4.0,2.0,hati hati
143,3.0,4.0,hati hati
144,3.0,4.0,hati hati
145,2.0,3.0,lulus
146,2.0,3.0,lulus
147,3.0,4.0,tidak lulus
148,3.0,4.0,tidak lulus
149,2.0,3.0,hati hati
150,2.0,3.0,hati hati
151,3.0,3.0,hati hati
152,3.0,3.0,hati hati
153,1.0,4.0,hati hati
154,1.0,4.0,hati hati
155,4.0,2.0,hati hati
156,4.0,2.0,hati hati
157,3.0,2.0,lulus
158,3.0,2.0,lulus
159,4.0,3.0,lulus
160,4.0,3.0,lulus
161,3.0,2.0,lulus
162,3.0,2.0,lulus
163,3.0,2.0,lulus
164,3.0,2.0,lulus
165,4.0,3.0,lulus
166,4.0,3.0,lulus
167,4.0,3.0,hati hati
168,4.0,3.0,hati hati
169,4.0,4.0,hati hati
170,4.0,4.0,hati hati
171,3.0,3.0,hati hati
172,3.0,3.0,hati hati
173,3.0,3.0,hati hati
174,3.0,4.0,hati hati
175,3.0,4.0,hati hati
